Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,Are you Facebook user?,From which country do you participate in the survey?,,What is your age?,What is your gender?,What is your education level?,Please select your Facebook usage type:,How often do you use Facebook?,Do you know/aware of the privacy policy rules of Facebook?,Have you configured the privacy setting of your profile?,"Do you know that you can control the visibility of your posts with some privacy settings? (restricting the visibility of your post to only all/some of your friends, friends and friends of friends, or public)?",What is your general preference for the visibility of your posts?,"Suppose that you have commented on a post that was created by your best friend and that this post is only shared by your best friends' friends. You trust that your friend will not make your comment visible to others than the selected group of people. However, after few days your best friend changes the privacy setting of this post to public. As a result of Facebook Privacy Policy (stating that privacy of interactions on a post only depends on the privacy setting of that particular post, controlled tuned only by the post owner), your comment became visible to public, without getting your approval. What is your opinion about this policy?","Suppose that you see a public post in Facebook, and comment on it, by being aware that your comment will be visible to everyone. After a while, suppose that the post owner changed the visibility of that post to friends only, and you're not among his/her list of friends on Facebook. As a result of the Facebook Privacy Policy as described previously, you cannot see the post. You cannot even have access to your own comment or see it in your own action logs. What is your opinion about this policy?",Were you aware of above described privacy related issues?,Do you think that our solution is clearly understood through the mockup?,Do you think that this solution is useful to improve the privacy awareness of Facebook members?,"Do you think that this solution can be implemented in real world? If so, by whom?",Do you think that this problem should be solved by Facebook through policy regulations and service refinements?,"Do you have any other comments, questions, or concerns?"
10472813433,223929250,01/17/2019 03:57:38 PM,01/17/2019 04:01:12 PM,85.74.194.93,,,,,Yes,Greece,,25-34,Female,University graduate,"I like to have interactions (like, comment, share, etc.) with posts in my News Feed",I am following continuously,Yes,Yes,Yes,Public,Neutral,Probably disagree,Yes,Yes,Yes,by any trustable third party,"Yes, certainly this is more practical and faster solution",Νο
10472775034,223929250,01/17/2019 03:33:13 PM,01/17/2019 03:40:26 PM,91.140.89.33,,,,,Yes,Greece,,15-24,Male,University graduate,I mostly prefer to like posts in my News Feed,For few hours on each day,Yes,Yes,Yes,Only my friends,Probably agree,Strongly disagree,No,Yes,Yes,by Facebook,"Yes, certainly this is more practical and faster solution",No
10472689734,223929250,01/17/2019 02:47:58 PM,01/17/2019 02:52:18 PM,62.74.15.116,,,,,Yes,Greece,,25-34,Male,University graduate,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",For few hours on each day,No,Yes,Yes,Only my friends,Probably disagree,Neutral,Yes,No,Yes,by Facebook,"Yes, certainly this is more practical and faster solution",
10472687402,223929250,01/17/2019 02:49:05 PM,01/17/2019 02:50:54 PM,2.84.208.223,,,,,Yes,Greece,,15-24,Male,University graduate,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",Regularly I check it weekly,Yes,Yes,Yes,Only with selected friend(s),Strongly agree,Probably agree,Yes,Yes,Yes,by Facebook,"Yes, certainly this is more practical and faster solution",
10472686840,223929250,01/17/2019 02:47:32 PM,01/17/2019 02:50:33 PM,94.66.58.14,,,,,Yes,Greece,,15-24,Male,High School,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",For few hours on each day,No,Yes,Yes,Only my friends,Probably disagree,Probably disagree,No,Yes,Yes,by Facebook,"Yes, certainly this is more practical and faster solution",
10472682218,223929250,01/17/2019 02:44:09 PM,01/17/2019 02:47:43 PM,176.58.193.116,,,,,Yes,Greece,,15-24,Female,Postgraduate degree,"I like to have interactions (like, comment, share, etc.) with posts in my News Feed",For few hours on each day,No,Yes,Yes,Only my friends,Probably disagree,Strongly disagree,No,Yes,Yes,by Facebook,"Yes, certainly this is more practical and faster solution",
10472674350,223929250,01/17/2019 02:38:09 PM,01/17/2019 02:42:51 PM,89.32.211.215,,,,,Yes,Greece,,15-24,Male,High School,I mostly prefer to like posts in my News Feed,Regularly I check it weekly,No,Yes,Yes,Only with selected friend(s),Probably disagree,Probably disagree,No,Yes,Yes,by any trustable third party,"Yes, certainly this is more practical and faster solution",
10472658342,223929250,01/17/2019 02:24:49 PM,01/17/2019 02:33:09 PM,46.177.40.192,,,,,Yes,Greece,,15-24,Male,High School,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",I am following continuously,Yes,Yes,Yes,Public,Probably agree,Probably agree,Yes,,,,"Yes, certainly this is more practical and faster solution",
10472641583,223929250,01/17/2019 02:14:05 PM,01/17/2019 02:22:46 PM,176.58.192.223,,,,,Yes,Greece,,15-24,Female,University graduate,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",For few hours on each day,No,Yes,Yes,Only my friends,Probably disagree,Probably disagree,Yes,Yes,Yes,"no, it’s inapplicable","Yes, certainly this is more practical and faster solution",
10472638226,223929250,01/17/2019 02:20:03 PM,01/17/2019 02:20:43 PM,176.58.193.136,,,,,No,,,,,,,,,,,,,,,,,,,
10472637547,223929250,01/17/2019 02:14:50 PM,01/17/2019 02:20:19 PM,62.74.2.23,,,,,Yes,Greece,,15-24,Female,High School,I mostly prefer to like posts in my News Feed,Regularly I check it weekly,Yes,Yes,Yes,Only my friends,Strongly disagree,Probably disagree,No,Yes,Yes,by any trustable third party,"Yes, certainly this is more practical and faster solution",No  
10472629408,223929250,01/17/2019 02:12:00 PM,01/17/2019 02:15:25 PM,79.130.134.31,,,,,Yes,Greece,,15-24,Male,University graduate,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",Regularly I check it weekly,Yes,Yes,Yes,Friends of Friends,Neutral,Neutral,Yes,Yes,Yes,by any trustable third party,"Yes, certainly this is more practical and faster solution",
10472628831,223929250,01/17/2019 02:10:19 PM,01/17/2019 02:15:06 PM,185.176.76.25,,,,,Yes,Greece,,35-44,Male,Doctorate degree,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",Regularly I check it weekly,Yes,Yes,Yes,Only my friends,Probably disagree,Probably disagree,No,Yes,Yes,by Facebook,"Yes, certainly this is more practical and faster solution",
10472617590,223929250,01/17/2019 02:03:41 PM,01/17/2019 02:08:36 PM,5.144.210.77,,,,,Yes,Greece,,15-24,Female,High School,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",When Facebook send an alert then I check my received posts,No,No,Yes,Only with selected friend(s),Probably agree,Strongly disagree,Yes,Yes,Yes,by Facebook,"Yes, certainly this is more practical and faster solution",
10472612686,223929250,01/17/2019 01:59:10 PM,01/17/2019 02:05:59 PM,83.235.189.248,,,,,Yes,Greece,,15-24,Male,Postgraduate degree,I mostly prefer to like posts in my News Feed,For few hours on each day,Yes,Yes,Yes,Public,Neutral,Strongly disagree,No,Yes,Yes,by Facebook,"No, this would be too complicated",
10472607433,223929250,01/17/2019 01:51:01 PM,01/17/2019 02:03:10 PM,188.4.125.153,,,,,Yes,Greece,,15-24,Female,High School,I mostly prefer to like posts in my News Feed,For few hours on each day,Yes,Yes,Yes,Friends of Friends,Neutral,Neutral,Yes,Yes,Yes,by any trustable third party,"Yes, certainly this is more practical and faster solution",no  
10472603934,223929250,01/17/2019 01:54:07 PM,01/17/2019 02:01:16 PM,193.205.210.74,,,,,Yes,Italy,,25-34,Male,Postgraduate degree,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",For few hours on each day,Yes,Yes,Yes,Only my friends,Probably agree,Strongly disagree,No,Yes,Yes,by Facebook,"No, this would be too complicated",
10472603568,223929250,01/17/2019 01:56:06 PM,01/17/2019 02:01:03 PM,62.74.2.224,,,,,No,Greece,,15-24,Male,Postgraduate degree,"I like to have interactions (like, comment, share, etc.) with posts in my News Feed",When Facebook send an alert then I check my received posts,No,Yes,Yes,Only my friends,,Neutral,No,No,Yes,by Facebook,"Yes, certainly this is more practical and faster solution",
10472599567,223929250,01/17/2019 01:55:12 PM,01/17/2019 01:58:48 PM,77.49.83.84,,,,,Yes,Greece,,15-24,Male,High School,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",For few hours on each day,No,Yes,Yes,Only my friends,Neutral,Probably disagree,Yes,Yes,Yes,by any trustable third party,"Yes, certainly this is more practical and faster solution",
10472595889,223929250,01/17/2019 01:49:26 PM,01/17/2019 01:56:56 PM,91.140.88.115,,,,,Yes,Greece,,15-24,Female,High School,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",When Facebook send an alert then I check my received posts,Yes,Yes,Yes,Only my friends,Neutral,Probably disagree,Yes,Yes,Yes,by Facebook,"Yes, certainly this is more practical and faster solution",
10472590349,223929250,01/17/2019 01:52:13 PM,01/17/2019 01:55:00 PM,79.131.252.4,,,,,Yes,Greece,,15-24,Male,High School,I mostly prefer to like posts in my News Feed,For few hours on each day,Yes,Yes,Yes,Only my friends,Neutral,Probably disagree,No,Yes,Yes,by any trustable third party,"Yes, certainly this is more practical and faster solution",
10472588054,223929250,01/17/2019 01:53:44 PM,01/17/2019 01:54:18 PM,94.66.226.217,,,,,No,,,,,,,,,,,,,,,,,,,
10472574575,223929250,01/17/2019 01:43:02 PM,01/17/2019 01:46:03 PM,5.55.30.191,,,,,Yes,Greece,,15-24,Female,University graduate,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",For few hours on each day,No,Yes,Yes,Only my friends,Probably agree,Probably agree,No,Yes,Yes,"no, it’s inapplicable","No, this would be too complicated",
10472544253,223929250,01/17/2019 01:19:49 PM,01/17/2019 01:25:10 PM,2.86.24.31,,,,,Yes,Greece,,15-24,Female,University graduate,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",For few hours on each day,No,Yes,Yes,Only my friends,Probably disagree,Strongly disagree,No,Yes,Yes,by Facebook,"Yes, certainly this is more practical and faster solution",
10472541938,223929250,01/17/2019 01:19:27 PM,01/17/2019 01:23:33 PM,141.255.99.148,,,,,Yes,Greece,,15-24,Female,High School,I mostly prefer to like posts in my News Feed,When Facebook send an alert then I check my received posts,No,No,Yes,Only my friends,Probably agree,Probably disagree,No,No,Yes,by Facebook,"No, this would be too complicated",Νο
10472540929,223929250,01/17/2019 01:20:55 PM,01/17/2019 01:22:53 PM,79.130.229.118,,,,,Yes,Greece,,25-34,Male,University graduate,I mostly prefer to like posts in my News Feed,Regularly I check it weekly,Yes,Yes,Yes,Only my friends,Probably agree,Probably agree,Yes,Yes,Yes,by any trustable third party,"Yes, certainly this is more practical and faster solution",
10472538278,223929250,01/17/2019 01:17:01 PM,01/17/2019 01:20:57 PM,77.49.217.222,,,,,Yes,Greece,,15-24,Female,University graduate,"I like to have interactions (like, comment, share, etc.) with posts in my News Feed",For few hours on each day,Yes,Yes,Yes,Friends of Friends,Probably disagree,Strongly disagree,No,Yes,Yes,by any trustable third party,"Yes, certainly this is more practical and faster solution",
10472526520,223929250,01/17/2019 01:06:29 PM,01/17/2019 01:12:54 PM,195.251.88.241,,,,,Yes,Greece,,35-44,Male,Postgraduate degree,I mostly prefer to like posts in my News Feed,Regularly I check it weekly,No,Yes,Yes,Only my friends,Probably agree,Strongly disagree,Yes,Yes,Yes,by any trustable third party,"Yes, certainly this is more practical and faster solution",
10472518114,223929250,01/17/2019 12:58:38 PM,01/17/2019 01:07:12 PM,80.211.236.160,,,,,Yes,Greece,,15-24,Male,University graduate,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",Regularly I check it weekly,No,Yes,Yes,Only my friends,Probably disagree,Strongly disagree,No,Yes,Yes,"no, it’s inapplicable","Yes, certainly this is more practical and faster solution",
10472517656,223929250,01/17/2019 01:04:29 PM,01/17/2019 01:06:52 PM,80.106.87.224,,,,,Yes,Greece,,25-34,Female,Postgraduate degree,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",For few hours on each day,Yes,Yes,Yes,Only with selected friend(s),Probably disagree,Probably agree,No,Yes,Yes,by Facebook,"Yes, certainly this is more practical and faster solution",
10472514470,223929250,01/17/2019 12:37:35 PM,01/17/2019 01:04:39 PM,195.130.106.47,,,,,Yes,Greece,,15-24,Male,Postgraduate degree,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",For few hours on each day,No,Yes,Yes,Only my friends,Probably disagree,Probably disagree,No,Yes,Yes,by Facebook,"Yes, certainly this is more practical and faster solution",
10472509272,223929250,01/17/2019 12:50:10 PM,01/17/2019 01:01:15 PM,77.49.68.190,,,,,Yes,Greece,,15-24,Female,University graduate,I mostly prefer to like posts in my News Feed,When Facebook send an alert then I check my received posts,Yes,No,Yes,Only my friends,Neutral,Probably disagree,No,Yes,Yes,by Facebook,"No, this would be too complicated",
10472504363,223929250,01/17/2019 12:44:32 PM,01/17/2019 12:57:52 PM,62.74.219.253,,,,,Yes,Greece,,45-54,Female,Postgraduate degree,"I like to have interactions (like, comment, share, etc.) with posts in my News Feed",I am following continuously,No,Yes,Yes,Only my friends,Strongly disagree,Probably disagree,Yes,Yes,Yes,by Facebook,"Yes, certainly this is more practical and faster solution",
10472502201,223929250,01/17/2019 12:53:46 PM,01/17/2019 12:56:18 PM,194.219.112.120,,,,,Yes,Greece,,15-24,Male,High School,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",When Facebook send an alert then I check my received posts,Yes,Yes,Yes,Only my friends,Neutral,Strongly disagree,Yes,Yes,Yes,by Facebook,"Yes, certainly this is more practical and faster solution",
10472500705,223929250,01/17/2019 12:51:26 PM,01/17/2019 12:55:13 PM,79.129.196.236,,,,,Yes,Greece,,15-24,Male,University graduate,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",When Facebook send an alert then I check my received posts,Yes,Yes,Yes,Friends of Friends,Neutral,Probably agree,No,Yes,Yes,by Facebook,"Yes, certainly this is more practical and faster solution",
10472497503,223929250,01/17/2019 12:47:39 PM,01/17/2019 12:52:53 PM,193.92.188.200,,,,,Yes,Greece,,15-24,Male,University graduate,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",Regularly I check it weekly,No,No,No,Only my friends,Neutral,Probably disagree,No,No,Yes,"no, it’s inapplicable","Yes, certainly this is more practical and faster solution",
10472477388,223929250,01/17/2019 12:37:31 PM,01/17/2019 12:38:27 PM,62.74.11.25,,,,,No,Greece,,15-24,Female,University graduate,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",For few hours on each day,Yes,Yes,Yes,Friends of Friends,Probably disagree,Probably disagree,No,No,Yes,by Facebook,"Yes, certainly this is more practical and faster solution",
10472476026,223929250,01/17/2019 12:33:25 PM,01/17/2019 12:37:26 PM,94.64.164.28,,,,,No,Greece,,25-34,Female,University graduate,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",Regularly I check it weekly,Yes,Yes,Yes,Only my friends,Strongly disagree,Strongly disagree,Yes,Yes,Yes,by Facebook,"Yes, certainly this is more practical and faster solution",
10472475183,223929250,01/17/2019 12:35:52 PM,01/17/2019 12:36:49 PM,195.251.66.34,,,,,No,,,,,,,,,,,,,,,,,,,
10472472618,223929250,01/17/2019 12:32:22 PM,01/17/2019 12:35:02 PM,195.251.66.48,,,,,Yes,Greece,,35-44,Male,Doctorate degree,,Regularly I check it weekly,Yes,Yes,Yes,Default Setting,Strongly disagree,Strongly agree,Yes,Yes,Yes,"no, it’s inapplicable","No, this would be too complicated",
10472458196,223929250,01/17/2019 12:19:50 PM,01/17/2019 12:24:50 PM,188.73.196.83,,,,,Yes,Greece,,15-24,Male,University graduate,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",Regularly I check it weekly,Yes,Yes,Yes,Public,Neutral,Strongly disagree,Yes,Yes,Yes,"no, it’s inapplicable","Yes, certainly this is more practical and faster solution",
10472453720,223929250,01/17/2019 12:16:43 PM,01/17/2019 12:21:26 PM,62.74.7.74,,,,,No,Greece,,35-44,Male,University graduate,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",When Facebook send an alert then I check my received posts,Yes,Yes,Yes,Only with selected friend(s),Neutral,Strongly disagree,Yes,No,No,"no, it’s inapplicable","No, this would be too complicated",Νο
10472448368,223929250,01/17/2019 12:13:16 PM,01/17/2019 12:17:23 PM,85.75.0.239,,,,,Yes,Greece,,15-24,Male,University graduate,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",For few hours on each day,No,No,Yes,Default Setting,Neutral,Neutral,No,Yes,Yes,by any trustable third party,"No, this would be too complicated",
10472447405,223929250,01/17/2019 11:58:09 AM,01/17/2019 12:16:36 PM,193.92.75.181,,,,,Yes,Greece,,15-24,Female,University graduate,I mostly prefer to like posts in my News Feed,I am following continuously,Yes,Yes,Yes,Only my friends,Probably disagree,Probably disagree,No,Yes,Yes,by Facebook,"Yes, certainly this is more practical and faster solution",
10472447238,223929250,01/17/2019 12:11:11 PM,01/17/2019 12:16:30 PM,83.235.105.136,,,,,Yes,Greece,,25-34,Female,Postgraduate degree,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",For few hours on each day,No,Yes,Yes,Only my friends,Probably agree,Probably disagree,Yes,Yes,Yes,by any trustable third party,"Yes, certainly this is more practical and faster solution",
10472443843,223929250,01/17/2019 12:10:58 PM,01/17/2019 12:13:55 PM,5.144.220.125,,,,,Yes,Greece,,15-24,Female,Postgraduate degree,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",For few hours on each day,Yes,Yes,Yes,Only my friends,Probably agree,Probably disagree,No,No,Yes,"no, it’s inapplicable","Yes, certainly this is more practical and faster solution",Νο
10472442855,223929250,01/17/2019 11:48:39 AM,01/17/2019 12:13:11 PM,195.251.78.69,,,,,Yes,Greece,,45-54,Female,University graduate,I mostly prefer to like posts in my News Feed,For few hours on each day,No,No,No,Only my friends,Probably disagree,Probably agree,No,No,Yes,by any trustable third party,"Yes, certainly this is more practical and faster solution",
10472439093,223929250,01/17/2019 12:05:10 PM,01/17/2019 12:10:25 PM,83.235.105.136,,,,,Yes,Greece,,15-24,Female,High School,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",For few hours on each day,Yes,Yes,Yes,Only my friends,Probably agree,Probably agree,Yes,No,No,by Facebook,"Yes, certainly this is more practical and faster solution",
10472433598,223929250,01/17/2019 12:03:17 PM,01/17/2019 12:06:26 PM,195.251.81.170,,,,,Yes,Greece,,15-24,Female,University graduate,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",Regularly I check it weekly,Yes,Yes,Yes,Only my friends,Neutral,Probably disagree,Yes,Yes,Yes,by Facebook,"Yes, certainly this is more practical and faster solution",
10472430618,223929250,01/17/2019 11:58:52 AM,01/17/2019 12:04:33 PM,194.219.19.223,,,,,Yes,Greece,,15-24,Female,High School,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",For few hours on each day,No,Yes,Yes,Only my friends,Probably disagree,Neutral,No,No,Yes,by any trustable third party,"Yes, certainly this is more practical and faster solution",No
10472429925,223929250,01/17/2019 11:50:55 AM,01/17/2019 12:04:03 PM,77.49.103.102,,,,,No,Greece,,35-44,Male,Doctorate degree,"I like to have interactions (like, comment, share, etc.) with posts in my News Feed",I am following continuously,Yes,Yes,Yes,Only with selected friend(s),Probably disagree,Probably disagree,Yes,Yes,Yes,by Facebook,"Yes, certainly this is more practical and faster solution",
10472426972,223929250,01/17/2019 11:59:14 AM,01/17/2019 12:01:46 PM,176.92.91.102,,,,,Yes,Greece,,15-24,Female,University graduate,"I like to have interactions (like, comment, share, etc.) with posts in my News Feed",I am following continuously,Yes,Yes,Yes,Only my friends,Neutral,Neutral,Yes,No,Yes,"no, it’s inapplicable","No, this would be too complicated",how can you help the community while you can do nothing? 
10472426178,223929250,01/17/2019 11:57:52 AM,01/17/2019 12:01:09 PM,62.74.1.153,,,,,Yes,Greece,,15-24,Female,University graduate,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",When Facebook send an alert then I check my received posts,No,Yes,Yes,Only my friends,Strongly disagree,Probably disagree,No,Yes,Yes,"no, it’s inapplicable","Yes, certainly this is more practical and faster solution",No  
10472425999,223929250,01/17/2019 11:57:48 AM,01/17/2019 12:01:01 PM,2.87.247.206,,,,,Yes,Greece,,15-24,Female,High School,I mostly prefer to like posts in my News Feed,I am following continuously,No,Yes,Yes,Only my friends,Probably agree,Probably disagree,Yes,Yes,Yes,by any trustable third party,"Yes, certainly this is more practical and faster solution",
10472419539,223929250,01/17/2019 11:53:52 AM,01/17/2019 11:55:52 AM,80.245.160.140,,,,,No,,,,,,,,,,,,,,,,,,,
10472411067,223929250,01/17/2019 11:45:40 AM,01/17/2019 11:49:12 AM,94.65.179.117,,,,,Yes,Greece,,45-54,Female,Postgraduate degree,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",Regularly I check it weekly,No,Yes,No,Only with selected friend(s),Probably agree,Probably agree,No,Yes,Yes,by any trustable third party,"Yes, certainly this is more practical and faster solution",
10472408907,223929250,01/17/2019 11:42:47 AM,01/17/2019 11:47:30 AM,5.144.208.204,,,,,No,Greece,,25-34,Male,Postgraduate degree,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",Regularly I check it weekly,Yes,Yes,Yes,Only my friends,Strongly disagree,Strongly disagree,Yes,Yes,Yes,by any trustable third party,"No, this would be too complicated",
10472408220,223929250,01/17/2019 11:43:20 AM,01/17/2019 11:46:58 AM,91.140.89.187,,,,,Yes,Greece,,35-44,Female,Doctorate degree,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",For few hours on each day,No,Yes,Yes,Public,Strongly disagree,Strongly disagree,No,Yes,Yes,by any trustable third party,"Yes, certainly this is more practical and faster solution",
10472406630,223929250,01/17/2019 11:42:14 AM,01/17/2019 11:45:39 AM,46.177.249.137,,,,,Yes,Greece,,15-24,Female,University graduate,I mostly prefer to like posts in my News Feed,When Facebook send an alert then I check my received posts,Yes,No,Yes,Only my friends,Neutral,Probably disagree,Yes,Yes,Yes,by any trustable third party,"No, this would be too complicated",No
10472405480,223929250,01/17/2019 11:42:25 AM,01/17/2019 11:44:44 AM,5.54.194.175,,,,,Yes,Greece,,35-44,Male,Doctorate degree,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",I am following continuously,No,Yes,Yes,Only with selected friend(s),Strongly disagree,Strongly disagree,No,Yes,No,"no, it’s inapplicable","Yes, certainly this is more practical and faster solution",
10472399282,223929250,01/17/2019 11:35:26 AM,01/17/2019 11:39:51 AM,158.64.79.12,,,,,Yes,Greece,,55+,Female,Doctorate degree,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",When Facebook send an alert then I check my received posts,Yes,Yes,Yes,Only my friends,Probably disagree,Probably disagree,No,Yes,Yes,by Facebook,"Yes, certainly this is more practical and faster solution",
10472397974,223929250,01/17/2019 11:36:00 AM,01/17/2019 11:38:45 AM,46.190.10.4,,,,,Yes,Greece,,15-24,Female,High School,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",When Facebook send an alert then I check my received posts,Yes,Yes,Yes,Only my friends,Strongly disagree,Strongly agree,Yes,No,Yes,by Facebook,"Yes, certainly this is more practical and faster solution",
